title,year,genres
Godzilla x Kong: The New Empire,2024,"Science Fiction,Action,Adventure"
Meg 2: The Trench,2023,"Action,Science Fiction,Horror"
The Pope's Exorcist,2023,"Horror,Mystery,Thriller"
Transformers: Rise of the Beasts,2023,"Action,Adventure,Science Fiction"
Dune: Part Two,2024,"Science Fiction,Adventure"
Ant-Man and the Wasp: Quantumania,2023,"Action,Adventure,Science Fiction"
Creed III,2023,"Drama,Action"
Insidious: The Red Door,2023,"Horror,Mystery,Thriller"
Plane,2023,"Action,Adventure,Thriller"
Spider-Man: Across the Spider-Verse,2023,"Action,Adventure,Animation,Science Fiction"
Kingdom of the Planet of the Apes,2024,"Science Fiction,Adventure,Action"
The Eighth Clause,2022,Thriller
Aquaman and the Lost Kingdom,2023,"Action,Adventure,Fantasy"
The Little Mermaid,2023,"Adventure,Family,Fantasy,Romance"
Shazam! Fury of the Gods,2023,"Action,Comedy,Fantasy,Adventure"
Knights of the Zodiac,2023,"Fantasy,Action,Adventure"
Napoleon,2023,"History,War,Drama"
Badland Hunters,2024,"Action,Science Fiction,Drama"
The Nun II,2023,"Horror,Mystery,Thriller"
Lord of the Streets,2022,Action
The Creator,2023,"Science Fiction,Action,Thriller"
Damsel,2024,"Fantasy,Action,Adventure"
Huesera: The Bone Woman,2023,"Drama,Horror,Mystery"
Narvik,2022,"War,Drama,History,Action"
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"Drama,Science Fiction,Action"
Leave the World Behind,2023,"Drama,Mystery,Thriller,Science Fiction"
Extraction 2,2023,"Action,Thriller"
Furiosa: A Mad Max Saga,2024,"Action,Adventure,Science Fiction"
Shotgun Wedding,2022,"Action,Romance,Comedy"
The Forbidden Legend: Sex & Chopsticks 2,2009,"Comedy,Drama,Romance"
Guardians of the Galaxy Vol. 3,2023,"Action,Science Fiction,Adventure"
Retribution,2023,"Action,Mystery,Thriller,Crime"
Transfusion,2023,"Crime,Thriller,Drama"
Rebel Moon - Part One: A Child of Fire,2023,"Science Fiction,Action,Adventure"
Berlin Drifters,2017,Drama
Peter Pan & Wendy,2023,"Family,Fantasy,Action,Adventure"
Puss in Boots: The Last Wish,2022,"Animation,Family,Fantasy,Adventure,Comedy"
There Are No Saints,2022,Action
Migration,2023,"Animation,Action,Adventure,Comedy,Family"
Guy Ritchie's The Covenant,2023,"War,Action,Thriller"
Attack,2022,"Action,Science Fiction,Thriller"
Expend4bles,2023,"Action,Adventure,Thriller"
Padre no hay más que uno 3,2022,"Comedy,Family"
The Nights Belong to Monsters,2021,"Fantasy,Drama"
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"Animation,Comedy,Action"
JUNG_E,2023,"Science Fiction,Action,Adventure"
Sisu,2023,"Action,War"
John Wick: Chapter 4,2023,"Action,Thriller,Crime"
Dawn of the Planet of the Apes,2014,"Science Fiction,Action,Drama,Thriller"
Bar Fight,2022,Comedy
The Trip 6,2021,Comedy
Wonka,2023,"Comedy,Family,Fantasy"
Evil Dead Rise,2023,"Thriller,Horror"
Alien Sniperess,2022,"Action,Science Fiction,Fantasy"
Dark Blood,2021,"Crime,Drama"
Patriots Time,2022,"Action,War"
We Have a Ghost,2023,"Fantasy,Family,Comedy,Adventure"
Fast X,2023,"Action,Crime,Thriller"
Unicorn Wars,2022,"Action,Animation,Comedy,Fantasy,Horror,War"
Troll,2022,"Fantasy,Action,Adventure,Thriller"
Prey for the Devil,2022,"Horror,Thriller"
Choose or Die,2022,"Horror,Thriller,Science Fiction"
Venus,2022,"Drama,Horror,Thriller"
Blood,2023,"Thriller,Horror"
Candy Land,2023,"Horror,Thriller"
Lecciones para canallas,2022,"Comedy,Crime"
The Exorcist: Believer,2023,Horror
The Enforcer,2022,"Action,Thriller,Drama"
Ghostbusters: Frozen Empire,2024,"Fantasy,Adventure,Comedy"
Avatar: Scene Deconstruction,2009,Documentary
The Fall Guy,2024,"Action,Comedy"
57 Seconds,2023,"Thriller,Science Fiction,Action"
Guardians of the Galaxy Vol. 2,2017,"Adventure,Action,Science Fiction"
Viking Wolf,2022,"Horror,Thriller,Mystery"
Mission: Impossible - Dead Reckoning Part One,2023,Action
The Pale Blue Eye,2022,"Mystery,Crime,Horror"
Killers of the Flower Moon,2023,"Crime,History,Drama"
Dolphin Boy,2022,"Animation,Adventure,Fantasy,Comedy"
Barbie,2023,"Comedy,Adventure,Fantasy"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,"Animation,Action,Adventure,Fantasy,Thriller"
Evil Eye,2022,Horror
65,2023,"Science Fiction,Adventure,Thriller"
Big Trip 2: Special Delivery,2022,"Animation,Family,Adventure,Comedy"
Glass Onion: A Knives Out Mystery,2022,"Comedy,Crime,Mystery"
Bandit,2022,"Crime,Drama,Thriller"
Oppenheimer,2023,"Drama,History"
Sniper: The White Raven,2022,"War,Action,Drama"
A Haunting in Venice,2023,"Mystery,Thriller,Crime"
Atlas,2024,"Science Fiction,Action"
The Matrix,1999,"Action,Science Fiction"
Violent Night,2022,"Action,Comedy,Crime,Thriller"
Ritual,2022,Thriller
Saw,2004,"Horror,Mystery,Crime"
Argylle,2024,"Comedy,Action,Crime"
No Hard Feelings,2023,"Comedy,Romance"
